State,coeff,coeff_determ,intercept,mse
Alabama,107.34313236894856,0.9791863672122637,23.757411814447153,939.428315876998
Alaska,158.69991122009966,0.979914203253292,-7.85112238164875,438.99628837097015
Arizona,136.66950547566609,0.9918448570837866,-4.142882886876691,1438.4027001331938
Arkansas,115.5168760179193,0.994233424003699,-2.4731531122017145,797.172289573927
California,98.33715724920364,0.9660872353387696,20.236924137358642,698.7332359928472
Colorado,114.21857260897343,0.9380677825682578,-8.756608328057155,6403.091327776284
Connecticut,149.06439879307587,0.9471911340549872,-170.02723493681708,31564.302311131916
Delaware,101.27531587483234,0.8525779373935437,14.613467612295779,18298.34718674014
District of Columbia,176.42799130677938,0.9581936871196078,-104.65583665929125,13046.47826493507
Florida,109.30338460103212,0.9839777956241339,6.426327182684531,1230.8483671586712
Georgia,89.62767184313364,0.9590913634727174,34.71055293933023,1664.2119553174282
Hawaii,139.48956024190744,0.985528508597748,-1.0138626783746076,114.99758447031334
Idaho,109.05311007724619,0.9866090374806545,-6.994608769625302,1385.3792578343164
Illinois,91.22039187949635,0.9360903090538215,-5.505334807762097,12073.044452843262
Indiana,95.02202219863621,0.9217790942081335,-0.03664165796766383,6957.637724440312
Iowa,101.06006259666638,0.9879322147026813,-7.920412481697213,2410.3242004241074
Kansas,101.1053325168153,0.9908471216111132,0.13747984454329298,1199.1026425903763
Kentucky,89.95801007144954,0.9626930151316144,17.187883205877483,744.672958469323
Louisiana,130.34972020495505,0.883355388017185,-140.8153208299376,13748.107637971858
Maine,124.35380939741236,0.9639918470231542,3.412456174949085,443.8095377961498
Maryland,136.52778474471916,0.9171797160622128,-104.99088623385063,8791.942761689286
Massachusetts,162.34957050254593,0.9511773528006906,-234.44115929893644,23869.824764048106
Michigan,123.81873218703238,0.7660201790133091,-72.90473276292755,63489.757670565115
Minnesota,106.97124069084752,0.9773495278487296,-20.15178346473357,2035.2442062652083
Mississippi,118.95684697477893,0.9692726463543924,41.149025239260254,2520.895687248841
Missouri,83.93744876311305,0.9698588615791953,13.873043331265876,2064.572112180346
Montana,201.45832881790622,0.9825329812003175,-27.942975001503555,3605.6106768168056
Nebraska,94.04235843657891,0.9889316810273672,-14.248944756308617,1320.0768864582276
Nevada,133.27681020678207,0.9835293897446903,26.169749241566194,1319.19749096018
New Hampshire,112.04512303467288,0.9272084492355099,5.034598213537635,2557.3494454541396
New Jersey,150.2823169550273,0.9646102948273666,-184.92044177922355,65204.21634523535
New Mexico,152.03007251226128,0.9687910920812088,-43.72145978263842,4338.149868578519
New York,127.86380355586863,0.9564428549207776,-152.39868363301446,112657.21559015587
North Carolina,89.94475393817481,0.9616951047084091,26.667658854305216,380.95712692656133
North Dakota,189.38356376543496,0.9929496560244081,-14.269722661936953,4023.727658240576
Ohio,92.92596842585118,0.9767119376149501,-9.501471779225653,2967.2843426467234
Oklahoma,98.73713944105498,0.9725506629744749,-7.700566136088526,1092.2175991799475
Oregon,107.22299953262166,0.9659488150689043,2.4891622380336855,551.9397862935313
Pennsylvania,96.80269616351431,0.9158740068090097,0.7591874093657225,14579.010505416594
Rhode Island,112.78716618582622,0.9283784225012455,-41.19727909005201,24686.234368957597
South Carolina,102.33412352102245,0.9927525062627139,17.98255009076871,673.4830790123036
South Dakota,135.1903604948242,0.993282836849433,-66.56836653267578,4707.656840635973
Tennessee,92.35134993526708,0.9952700704041684,7.584322946950749,424.7748782286975
Texas,97.72287308727037,0.9901821663557931,-0.8620900776890039,724.9446722365592
Utah,94.39429923547264,0.9859751998139924,-2.8132588237922107,291.5644973761433
Vermont,179.19150812455806,0.8525178556673886,12.895241831392553,2988.622195754522
Virginia,87.88617135611854,0.8739099958852433,15.070437414254883,1571.1843037073613
Washington,115.87795555113983,0.7955093919781168,7.703192003585514,1331.132201879164
West Virginia,121.88213833322432,0.9892879972291749,-2.1450986062344555,971.9221664516195
Wisconsin,90.64743763652143,0.9801171137577754,-2.385885165937964,2201.4740066669874
Wyoming,325.5638293338606,0.9854889122790085,-18.751766325261258,2293.2375225930014
