state,date,new_cases_jhu,new_deaths_jhu,Excess Lower Estimate,Excess Higher Estimate,mid_point_xs_deaths,corr_new_deaths,est_inf,pro_chg_est_inf,mobile_infectious,phi,population,est_inf_per_100k,new_cases_per_100k,state_id,rho,weekly_exposures,pro_chg_weekly_exposures,density_cor_exposure,psi,enc_w_inf,new_results_reported,positive_results,test_positivity_rate
Alabama,2020-03-07,0,0,0.0,0.0,0.0,0.0,0.0,,,,4903185,0.0,0.0,AL,0.5147310508840277,2587.7321300000003,0.03943668284408598,1331.9860786812635,,,301,31,0.3071588605569188
Alabama,2020-03-14,15,0,0.0,20.0,10.0,0.0,588.0,inf,,,4903185,11.99220506670664,0.3059235986404755,AL,0.5147310508840277,2690.52701,0.03972392613914001,1384.8977952891607,,,684,17,0.049374876836504565
Alabama,2020-03-21,134,0,0.0,0.0,0.0,0.0,11102.0,17.881,588.0,0.0001199220506670664,4903185,226.42425280710395,2.732917481188248,AL,0.5147310508840277,2057.8527575,-0.23514882034207865,1059.2407124325691,1.7824987426693473,0.12702631838495806,6300,314,0.363106257799055
Alabama,2020-03-28,652,4,0.0,0.0,0.0,4.0,8602.0,-0.2252,11102.0,0.0022642425280710397,4903185,175.4369863670247,13.29747908757267,AL,0.5147310508840277,1412.82501,-0.31344698747232885,727.2249021125369,0.10654411672854665,1.646613550835505,14346,1519,0.7484826118765335
Alabama,2020-04-04,926,40,5.0,66.0,35.5,75.5,11470.0,0.3334,8602.0,0.001754369863670247,4903185,233.92957842708364,18.885683489405356,AL,0.5147310508840277,1387.4543625000001,-0.017957388438360037,714.1658420632538,0.18670885054335973,1.2529110309784577,14965,2030,0.9398028324784485
Alabama,2020-04-11,1619,48,0.0,21.0,10.5,58.5,11250.0,-0.0192,11470.0,0.002339295784270836,4903185,229.44269898035665,33.01935374659533,AL,0.5147310508840277,1209.1080175,-0.12854213430029138,622.3654404800783,0.15759543596283954,1.4558968511909092,21050,2563,0.8429711693542116
Alabama,2020-04-18,1442,61,0.0,34.0,17.0,78.0,15735.0,0.3987,11250.0,0.0022944269898035664,4903185,320.91385497385886,29.409455282637715,AL,0.5147310508840277,1224.7275775,0.012918250291893456,630.4053130132245,0.2218678424490572,1.4464189646931076,25204,2506,0.7302938305496476
Alabama,2020-04-25,1486,56,0.0,41.0,20.5,76.5,18897.0,0.201,15735.0,0.0032091385497385883,4903185,385.4025495672711,30.30683117198311,AL,0.5147310508840277,1300.8368925,0.06214387297080352,669.581140705238,0.17935888809257883,2.148778650815117,20563,2460,0.8985748574015484
Alabama,2020-05-02,1426,79,0.0,56.0,28.0,107.0,18014.0,-0.0467,18897.0,0.003854025495672711,4903185,367.3938470606351,29.083136777421206,AL,0.5147310508840277,1505.1077774999999,0.15703035959214226,774.7257080062983,0.12304651781215269,2.9858126308093658,35754,3431,0.8101516623436905
Alabama,2020-05-09,2020,102,0.0,53.0,26.5,128.5,17426.0,-0.0326,18014.0,0.0036739384706063506,4903185,355.4016419939284,41.19771128358404,AL,0.5147310508840277,1714.8759725,0.13937087970432743,882.699911460694,0.10959089362476475,3.242985162716263,33229,3187,0.6782922083112864
Alabama,2020-05-16,2108,95,0.0,55.0,27.5,122.5,10808.0,-0.3798,17426.0,0.0035540164199392844,4903185,220.42815027375065,42.99246306227483,AL,0.5147310508840277,1754.7212625,0.02323508559159078,903.2095194551728,0.06866874655791955,3.210021462789155,39383,3976,0.6914561388028717
Alabama,2020-05-23,2500,64,27.0,82.0,54.5,118.5,21544.0,0.9933,10808.0,0.0022042815027375063,4903185,439.387867274027,50.98726644007925,AL,0.5147310508840277,1790.8987350000002,0.020617218969842085,921.831187893426,0.21623680063427397,2.0319754361200215,51335,5092,0.6937439528703874
Alabama,2020-05-30,3361,69,0.0,9.0,4.5,73.5,20514.0,-0.0478,21544.0,0.00439387867274027,4903185,418.3811135007143,68.54728100204255,AL,0.5147310508840277,1723.1224975,-0.03784481845647191,886.9446539400855,0.10735628891567926,3.8971271988483407,45279,5078,0.7699556096461018
Alabama,2020-06-06,2666,71,45.0,106.0,75.5,146.5,12058.0,-0.4122,20514.0,0.0041838111350071434,4903185,245.92178349379026,54.37282093170052,AL,0.5147310508840277,1902.69152,0.10421140851014864,979.374405597728,0.06001726188703113,4.097517543480777,51637,5745,0.7851025650795466
Alabama,2020-06-13,5009,84,27.0,84.0,55.5,139.5,20294.0,0.683,12058.0,0.0024592178349379028,4903185,413.89423405398736,102.1580870393428,AL,0.5147310508840277,1849.2727775000003,-0.028075356377264864,951.8781201337999,0.17681171321657285,2.3408756497202043,59892,6952,0.8078389388731873
